Round Number,Date,Location,Home Team,Away Team,Result
15,27/06/2019 19:20,Marvel Stadium,Essendon,GWS Giants,
15,28/06/2019 19:50,GMHBA Stadium,Geelong Cats,Adelaide Crows,
15,29/06/2019 13:45,MCG,Hawthorn,West Coast Eagles,
15,29/06/2019 16:35,SCG,Sydney Swans,Gold Coast Suns,
15,29/06/2019 19:25,Marvel Stadium,Collingwood,North Melbourne,
15,29/06/2019 19:40,Adelaide Oval,Port Adelaide,Western Bulldogs,
15,30/06/2019 13:10,Marvel Stadium,St Kilda,Richmond,
15,30/06/2019 15:20,Gabba,Brisbane Lions,Melbourne,
15,30/06/2019 17:20,Optus Stadium,Fremantle,Carlton,
16,05/07/2019 19:50,MCG,Hawthorn,Collingwood,
16,06/07/2019 13:45,MCG,Essendon,Sydney Swans,
16,06/07/2019 14:10,Metricon Stadium,Gold Coast Suns,Richmond,
16,06/07/2019 16:35,Adelaide Oval,Adelaide Crows,Port Adelaide,
16,06/07/2019 19:25,Marvel Stadium,Western Bulldogs,Geelong Cats,
16,06/07/2019 20:10,Optus Stadium,Fremantle,West Coast Eagles,
16,07/07/2019 13:10,MCG,Carlton,Melbourne,
16,07/07/2019 15:20,Blundstone Arena,North Melbourne,St Kilda,
16,07/07/2019 16:40,Sydney Showground Stadium,GWS Giants,Brisbane Lions,
17,12/07/2019 20:10,Optus Stadium,West Coast Eagles,Collingwood,
17,13/07/2019 13:45,SCG,Sydney Swans,Carlton,
17,13/07/2019 14:10,University of Tasmania Stadium,Hawthorn,Fremantle,
17,13/07/2019 16:35,Marvel Stadium,Essendon,North Melbourne,
17,13/07/2019 19:25,Metricon Stadium,Gold Coast Suns,Adelaide Crows,
17,13/07/2019 19:25,GMHBA Stadium,Geelong Cats,St Kilda,
17,14/07/2019 13:10,MCG,Richmond,GWS Giants,
17,14/07/2019 15:20,Marvel Stadium,Western Bulldogs,Melbourne,
17,14/07/2019 16:40,Adelaide Oval,Port Adelaide,Brisbane Lions,
18,19/07/2019 19:50,Adelaide Oval,Adelaide Crows,Essendon,
18,20/07/2019 13:45,MCG,Richmond,Port Adelaide,
18,20/07/2019 14:10,Marvel Stadium,Carlton,Gold Coast Suns,
18,20/07/2019 16:35,Sydney Showground Stadium,GWS Giants,Collingwood,
18,20/07/2019 19:25,Gabba,Brisbane Lions,North Melbourne,
18,20/07/2019 20:10,Optus Stadium,Fremantle,Sydney Swans,
18,21/07/2019 13:10,MCG,Geelong Cats,Hawthorn,
18,21/07/2019 15:20,TIO Traeger Park,Melbourne,West Coast Eagles,
18,21/07/2019 16:40,Marvel Stadium,St Kilda,Western Bulldogs,
19,26/07/2019 19:50,MCG,Collingwood,Richmond,
19,27/07/2019 13:45,University of Tasmania Stadium,Hawthorn,Brisbane Lions,
19,27/07/2019 14:10,MCG,Carlton,Adelaide Crows,
19,27/07/2019 16:35,Optus Stadium,West Coast Eagles,North Melbourne,
19,27/07/2019 19:25,Marvel Stadium,St Kilda,Melbourne,
19,27/07/2019 19:40,Adelaide Oval,Port Adelaide,GWS Giants,
19,28/07/2019 13:10,Marvel Stadium,Western Bulldogs,Fremantle,
19,28/07/2019 15:20,SCG,Sydney Swans,Geelong Cats,
19,28/07/2019 16:40,Metricon Stadium,Gold Coast Suns,Essendon,
20,02/08/2019 19:50,Marvel Stadium,North Melbourne,Hawthorn,
20,03/08/2019 13:45,Marvel Stadium,Essendon,Port Adelaide,
20,03/08/2019 14:10,Sydney Showground Stadium,GWS Giants,Sydney Swans,
